store_id,week_of_year,weekly_spend,ranking_score_weekly
18032585,1,1083.2,0.8065
18032585,2,308.26,0.5316
18032585,3,159.7,0.6446
18032585,4,388.01,0.6273
18032585,5,1464.96,0.8266
18032585,6,511.7,0.6673
18032585,7,462.19,0.6775
18032585,8,1424.94,0.8079
79656043,1,953.4,0.8416
79656043,2,728.27,0.8474
79656043,3,86.88,0.6589
79656043,4,230.04,0.7941
79656043,5,480.09,0.8222
79656043,6,1584.66,0.8597
79656043,7,437.98,0.8196
79656043,8,276.28,0.7875
49499059,1,156.53,0.5241
49499059,2,234.44,0.5798
49499059,3,122.12,
49499059,4,61.36,0.4854
49499059,5,67.64,0.5183
49499059,6,37.6,0.4847
49499059,7,42.11,
49499059,8,59.05,0.5734
48971370,1,241.73,0.7375
48971370,2,152.73,0.7718
48971370,3,572.59,0.8442
48971370,4,502.04,0.8424
48971370,5,588.21,0.8306
48971370,6,965.76,0.8528
48971370,7,124.1,0.6962
48971370,8,929.3,0.884
87273811,1,409.13,0.7605
87273811,2,652.06,0.7405
87273811,3,152.88,0.6443
87273811,4,50.36,0.6547
87273811,5,152.38,0.6763
87273811,6,842.19,0.7894
87273811,7,138.16,0.6475
87273811,8,345.11,0.6969
17735107,1,281.07,0.7388
17735107,2,37.43,0.5929
17735107,3,375.11,0.7633
17735107,4,86.14,0.6464
17735107,5,142.6,0.6955
17735107,6,58.47,0.5979
17735107,7,168.82,0.6743
17735107,8,205.02,0.651
72763121,1,663.02,0.3962
72763121,2,356.98,0.3439
72763121,3,189.54,0.3198
72763121,4,739.58,0.3715
72763121,5,182.89,0.2913
72763121,6,371.6,0.3168
72763121,7,447.07,0.3619
72763121,8,581.21,0.4192
18475961,1,305.41,0.7475
18475961,2,533.6,0.8107
18475961,3,267.47,0.7527
18475961,4,411.77,0.7747
18475961,5,456.52,0.8299
18475961,6,638.05,0.8797
18475961,7,626.24,0.8181
18475961,8,562.05,0.8273
57383107,1,1343.91,0.8789
57383107,2,609.02,0.848
57383107,3,125.49,0.7645
57383107,4,794.28,0.8381
57383107,5,346.43,0.7311
57383107,6,153.74,0.7692
57383107,7,257.32,0.7286
57383107,8,404.49,0.7895
97806010,1,261.7,0.7394
97806010,2,89.85,0.7339
97806010,3,303.92,0.8231
97806010,4,105.04,0.7579
97806010,5,97.22,0.7788
97806010,6,77.45,0.7541
97806010,7,105.63,0.7871
97806010,8,237.7,0.7319
76217712,1,257.49,0.8465
76217712,2,148.0,0.8045
76217712,3,253.7,0.8111
76217712,4,66.85,
76217712,5,180.56,0.8416
76217712,6,443.01,0.8331
76217712,7,186.78,0.8243
76217712,8,100.47,0.7865
78502572,1,53.35,0.8324
78502572,2,135.51,0.8497
78502572,3,171.31,0.832
78502572,4,172.48,0.816
78502572,5,157.1,0.7794
78502572,6,152.75,0.8384
78502572,7,77.73,0.8128
78502572,8,80.09,0.7914
74572954,1,212.3,0.6901
74572954,2,132.23,0.6974
74572954,3,82.45,0.7137
74572954,4,80.43,0.6018
74572954,5,72.0,0.5957
74572954,6,160.51,0.61
74572954,7,295.92,0.6738
74572954,8,111.17,0.5675
80745786,1,314.87,0.5045
80745786,2,207.38,0.6175
80745786,3,289.46,0.4631
80745786,4,218.2,0.4976
80745786,5,490.1,0.5732
80745786,6,533.3,0.5278
80745786,7,428.62,0.5021
80745786,8,229.64,0.4641
56190391,1,176.55,0.5203
56190391,2,166.79,0.4936
56190391,3,146.47,0.4105
56190391,4,154.92,0.4858
56190391,5,132.89,0.481
56190391,6,46.54,0.3769
56190391,7,55.65,0.4668
56190391,8,138.44,0.4172
21530226,1,65.77,0.8232
21530226,2,43.42,0.775
21530226,3,61.69,0.841
21530226,4,48.86,0.8285
21530226,5,209.41,0.7741
21530226,6,92.03,0.8668
21530226,7,80.19,0.8052
21530226,8,224.2,0.8253
85577339,1,812.34,0.6479
85577339,2,839.57,0.6789
85577339,3,1193.52,0.6786
85577339,4,631.36,0.6254
85577339,5,971.44,0.6265
85577339,6,1190.49,0.6995
85577339,7,261.15,0.5907
85577339,8,2626.08,0.7688
50534733,1,854.32,0.7589
50534733,2,243.75,0.6977
50534733,3,550.06,0.733
50534733,4,775.9,0.8088
50534733,5,314.35,0.6786
50534733,6,2156.47,0.8359
50534733,7,1422.48,0.8287
50534733,8,1152.37,0.8532
55031671,1,815.58,0.798
55031671,2,931.53,0.8203
55031671,3,534.67,0.7963
55031671,4,619.1,0.8071
55031671,5,260.99,0.6657
55031671,6,796.3,0.8199
55031671,7,953.41,0.8317
55031671,8,181.2,0.7292
43371821,1,220.04,0.6007
43371821,2,513.02,0.6817
43371821,3,141.48,0.6008
43371821,4,86.63,0.5796
43371821,5,502.33,0.6777
43371821,6,227.78,0.4988
43371821,7,171.78,0.5815
43371821,8,103.49,0.6171
26429467,1,162.95,0.6929
26429467,2,52.61,0.6231
26429467,3,341.56,0.6861
26429467,4,111.13,0.6665
26429467,5,568.03,0.8143
26429467,6,127.31,0.7251
26429467,7,113.01,0.7124
26429467,8,75.61,0.707
93408848,1,87.6,0.8193
93408848,2,204.7,0.8124
93408848,3,245.03,0.8077
93408848,4,255.84,0.8458
93408848,5,164.3,0.8026
93408848,6,188.63,0.8429
93408848,7,652.92,0.8661
93408848,8,322.37,0.9223
80341070,1,511.27,0.338
80341070,2,193.65,0.2643
80341070,3,268.51,0.3087
80341070,4,333.18,0.2922
80341070,5,756.52,0.3519
80341070,6,335.88,0.2571
80341070,7,780.41,0.3503
80341070,8,131.34,0.2524
67947860,1,459.98,0.6677
67947860,2,333.45,0.6282
67947860,3,289.06,0.5621
67947860,4,233.95,0.5669
67947860,5,271.08,0.4913
67947860,6,214.13,0.5519
67947860,7,230.92,0.5477
67947860,8,380.75,0.5632
46217292,1,48.76,0.6237
46217292,2,183.13,0.6802
46217292,3,23.55,0.5717
46217292,4,72.25,0.6035
46217292,5,86.82,0.5579
46217292,6,63.78,0.5995
46217292,7,104.58,0.5703
46217292,8,48.86,0.4729
84048544,1,101.35,0.7156
84048544,2,158.71,0.7693
84048544,3,32.82,0.7471
84048544,4,77.95,0.7632
84048544,5,61.94,0.7361
84048544,6,118.56,0.7584
84048544,7,154.55,0.7477
84048544,8,52.5,0.6757
59088620,1,146.32,0.4328
59088620,2,220.86,0.4666
59088620,3,78.56,0.4298
59088620,4,170.37,0.47
59088620,5,498.75,0.4843
59088620,6,140.25,0.4566
59088620,7,144.88,0.4224
59088620,8,53.74,0.4066
49907277,1,31.69,0.6283
49907277,2,49.29,0.6915
49907277,3,143.89,0.6701
49907277,4,82.2,0.6005
49907277,5,70.6,0.6778
49907277,6,166.42,0.6697
49907277,7,192.87,0.6512
49907277,8,43.27,0.6847
50541359,1,1370.36,0.7671
50541359,2,238.71,0.512
50541359,3,1081.62,0.7355
50541359,4,484.59,0.6551
50541359,5,1071.63,0.7644
50541359,6,1086.69,0.772
50541359,7,999.54,0.7236
50541359,8,1986.05,0.7586
30451484,1,3351.68,0.9177
30451484,2,3694.54,0.9363
30451484,3,4395.91,0.8842
30451484,4,6000.0,0.8955
30451484,5,2815.66,0.8859
30451484,6,3697.2,0.8959
30451484,7,2802.9,0.9026
30451484,8,6000.0,0.9284
18292232,1,261.32,0.6646
18292232,2,514.44,0.7355
18292232,3,190.62,0.6907
18292232,4,176.67,0.6411
18292232,5,89.69,0.6288
18292232,6,885.13,0.8081
18292232,7,648.29,0.7305
18292232,8,292.3,0.6462
59912630,1,328.33,0.5547
59912630,2,79.35,0.431
59912630,3,80.99,0.5039
59912630,4,760.22,0.6719
59912630,5,57.96,0.5207
59912630,6,365.31,0.4763
59912630,7,163.2,0.539
59912630,8,284.25,0.4776
15743552,1,100.77,0.7583
15743552,2,847.18,0.8411
15743552,3,292.35,0.8253
15743552,4,761.91,0.8678
15743552,5,713.78,0.8557
15743552,6,651.08,0.8256
15743552,7,428.56,0.7912
15743552,8,183.87,0.7354
87246215,1,222.11,0.8476
87246215,2,184.76,0.832
87246215,3,382.9,0.7952
87246215,4,279.43,0.7829
87246215,5,448.36,0.8236
87246215,6,87.57,0.7778
87246215,7,554.18,0.7969
87246215,8,253.97,0.8134
84486804,1,139.98,0.7002
84486804,2,66.88,0.7664
84486804,3,126.65,0.7363
84486804,4,134.25,0.7418
84486804,5,101.26,0.7505
84486804,6,62.6,0.7119
84486804,7,81.99,0.6574
84486804,8,55.21,0.7713
34908372,1,141.22,0.7609
34908372,2,310.36,0.8902
34908372,3,295.68,
34908372,4,419.64,0.8522
34908372,5,140.11,0.8597
34908372,6,268.53,0.8583
34908372,7,196.65,0.8325
34908372,8,419.66,0.8281
66849795,1,285.51,0.6432
66849795,2,963.93,0.8243
66849795,3,207.04,0.6632
66849795,4,209.5,0.5882
66849795,5,664.76,0.6868
66849795,6,620.12,0.7263
66849795,7,295.88,0.6732
66849795,8,495.33,0.6886
24870616,1,476.59,0.7933
24870616,2,396.45,0.852
24870616,3,1316.53,0.9092
24870616,4,204.23,0.7816
24870616,5,769.72,0.8734
